color,label_fr,latitude,longitude
red,GÎTE DES MAISONS BLANCHES,47.398950,0.656143
red,L'Hermitage,47.399647,0.662941
red,La Fabrique du Botanique,47.385877,0.671821
red,La Garzette,47.390688,0.665586
red,Le Couvent des Minimes,47.377544,0.662607
red,Les Agapanthes - Meublé Campanules,47.380017,0.664896
red,Les Agapanthes - Meublé Fougères,47.395036,0.644145
red,Les Agapanthes - Meublé Fuchsia,47.395036,0.644145
red,Les Agapanthes - Meublé Iris,47.380017,0.664896
red,Les Agapanthes - Meublé Oeillets,47.380017,0.664896
blue,A Noël la nature s'invite au château !,47.340838,0.511885
blue,Aire CAMPING-CAR PARK de Villandry,47.339446,0.507320
blue,Château et Jardins de Villandry,47.340891,0.512409
blue,Closerie de La Véronique,47.357818,0.486931
blue,Gîte Nature et châteaux,47.330649,0.522725
blue,La Maison de Louise,47.395967,0.467360
blue,La Renaissance,47.340402,0.511259
blue,Le Cheval Rouge,47.340541,0.511665
blue,Le Colombien,47.340655,0.511446
blue,Le Haut des Lys,47.336665,0.514468
green,Château de l'Aubrière,47.432327,0.634208
green,GITE DE LA RUE,47.477676,0.669303
green,Gîte de l'Etang,47.455967,0.614711
green,Gîte du Château Rouge,47.452439,0.649539
green,Gîte du Moulin,47.456256,0.615556
green,La Blanchetière,47.445934,0.645184
green,La Carrière,47.476704,0.611598
green,La Huberdière,47.427795,0.625589
green,La Longère,47.475660,0.611230
green,Le Manoir du Rouvre,47.452401,0.648544
purple,Aire de services du camping les Granges,47.381020,0.559138
purple,Camping Onlycamp La Confluence,47.349906,0.549538
purple,Château de Beauvois,47.397420,0.524468
purple,Cirque de Noël,47.381776,0.557192
purple,Flower Camping Les Granges,47.379464,0.559390
purple,Ker Lou Ann,47.347463,0.549088
purple,La Closerie du Chateauvert,47.347407,0.549266
purple,La Grange Touraine,47.362566,0.561465
purple,La Salamandre,47.347234,0.540084
purple,Le Coteau Fleuri,47.384298,0.553746
orange,Au coeur du Tours Historique,47.394605,0.692023
orange,Bal Renaissance,47.391179,0.688970
orange,Basilique Saint-Martin,47.392816,0.683029
orange,Best Western Central Hôtel,47.394729,0.688703
orange,Best Western Plus L'Artist Hôtel,47.391169,0.697215
orange,C koi l’art contemporain ?,47.395460,0.685010
orange,C koi l’art contemporain ??,47.395420,0.685440
orange,C l’atelier mashup Olivier Debré,47.395460,0.685010
orange,Cathédrale Saint-Gatien,47.395777,0.695612
orange,Central Parc Tours - Studio *** Orme de sibérie,47.384051,0.684764
lightgreen,Aire de services du camping Airotel La Mignardière,47.354944,0.634020
lightgreen,Airotel La Mignardière,47.355184,0.632911
lightgreen,Albin de la Simone - Les Cents Prochaines Années,47.352360,0.644880
lightgreen,Ballet Julien Lestel,47.352360,0.644880
lightgreen,Campanile Tours Sud,47.345700,0.639009
lightgreen,Chantal Goya - Sur la route enchantée,47.352360,0.644880
lightgreen,Concerto pour deux clowns - les Rois Vagabonds,47.352360,0.644880
lightgreen,Danceperados of Ireland - Hooked,47.352360,0.644880
lightgreen,Depuis que je suis né,47.352360,0.644880
lightgreen,Enrico Macias - Encore un tour,47.352360,0.644880
pink,B&B Hôtel Tours Nord 2 La Petite Arche,47.429940,0.704972
pink,Brit Hotel Essentiel Tours Nord,47.425027,0.699838
pink,Cabaret Extravagance,47.437922,0.694534
pink,Campanile Tours Nord - Forum Melies,47.422515,0.708605
pink,Clos de Puyraton,47.405079,0.715668
pink,Hôtel F1 Tours Nord,47.438074,0.709249
pink,Hôtel Italia,47.413046,0.689700
pink,Hôtel Première Classe Tours Nord,47.436880,0.710409
pink,Ibis Budget Tours Nord,47.437572,0.708707
pink,Ibis Tours Nord,47.426804,0.701618
white,"""Talent du coin"", rencontre-dédicace avec Michel Tironneau",47.347080,0.666170
white,Atelier découverte des échecs,47.347080,0.666170
white,Atelier « Papillons poétiques »,47.347080,0.666170
white,"Au bout du conte : "" Quatre amis dans la neige""",47.347080,0.666170
white,Au bout du conte : « Comment le feu est venu au monde ? »,47.347080,0.666170
white,Aucard de Tours,47.367854,0.672397
white,Bookclub « féminin-féministe »,47.347080,0.666170
white,Brit Hotel Tours Sud - Le Cheops,47.349204,0.664608
white,Chambre d'hôtes La Jocondienne,47.350202,0.665542
white,Club Ados,47.347080,0.666170
gray,70ème Salon de Peinture et Sculpture,47.332580,0.613910
gray,Bon Repos,47.357079,0.602549
gray,Château du Vau,47.336314,0.585285
gray,Gîte de la Maison d'Ardoise,47.360966,0.577476
gray,Kyriad Tours Sud Ballan-Miré,47.327761,0.602382
gray,Le Cotentin,47.364168,0.601525
gray,Le clos des bergeons,47.359105,0.607140
gray,Les Cabanes du Château du Vau,47.337193,0.584979
gray,Logis Saponine,47.346585,0.575514
black,Aux Mésanges Tourangelles,47.408023,0.584364
black,Closerie de la Bruzette,47.399870,0.588315
black,GITE DE LA PINSONNERIE,47.425048,0.581954
black,Gîte Mamélie,47.433245,0.594558
black,Gîte la Trotinière,47.454665,0.554292
black,LA GRANGE,47.485727,0.543532
black,La Chattière,47.394519,0.608022
black,La Jacqueminière,47.433258,0.550010
black,Le logis de la Roulière,47.419682,0.565232
black,VRF TOURAINE,47.408225,0.598206
